date;meals;amount
2011-12-18;249;1.083,69
2011-12-17;280;1.221,46
2011-12-16;251;1.093,88
2011-12-15;311;1.354,69
2011-12-14;322;1.403,24
2011-12-13;328;1.427,40
2011-12-12;328;1.427,16
2011-12-11;258;1.124,66
2011-12-10;278;1.209,36
2011-12-09;241;1.049,94
2011-12-08;294;1.279,78
2011-12-07;280;1.218,54
2011-12-06;282;1.230,49
2011-12-05;277;1.205,85
2011-12-04;263;1.144,40
2011-12-03;250;1.091,12
2011-12-02;280;1.218,27
2011-12-01;321;1.400,07
2011-11-30;274;1.192,43
2011-11-29;274;1.192,18
2011-11-28;304;1.326,14
2011-11-27;284;1.238,44
2011-11-26;245;1.068,41
2011-11-25;250;1.089,42
2011-11-24;290;1.264,16
2011-11-23;324;1.410,32
2011-11-22;321;1.397,88
2011-11-21;307;1.336,63
2011-11-20;277;1.205,11
2011-11-19;257;1.119,99
2011-11-18;255;1.109,16
2011-11-17;273;1.189,26
2011-11-16;290;1.262,21
2011-11-15;309;1.347,37
2011-11-14;315;1.371,52
2011-11-13;245;1.065,65
2011-11-12;269;1.171,57
2011-11-11;271;1.181,98
2011-11-10;309;1.346,15
2011-11-09;300;1.309,30
2011-11-08;320;1.394,46
2011-11-07;272;1.186,82
2011-11-06;271;1.180,91
2011-11-05;237;1.032,11
2011-11-04;242;1.053,12
2011-11-03;283;1.234,64
2011-11-02;289;1.258,80
2011-11-01;272;1.185,35
2011-10-31;278;1.209,51
2011-10-30;256;1.115,74
2011-10-29;241;1.051,85
2011-10-28;271;1.179,00
2011-10-27;294;1.281,73
2011-10-26;289;1.257,09
2011-10-25;272;1.183,64
2011-10-24;316;1.378,60
2011-10-23;248;1.082,42
2011-10-22;280;1.220,19
2011-10-21;256;1.113,83
2011-10-20;274;1.194,62
2011-10-19;291;1.267,58
2011-10-18;319;1.389,34
2011-10-17;280;1.218,29
2011-10-16;270;1.176,46
2011-10-15;263;1.144,40
2011-10-14;233;1.016,82
2011-10-13;324;1.412,52
2011-10-12;285;1.241,47
2011-10-11;313;1.363,23
2011-10-10;304;1.326,38
2011-10-09;275;1.196,20
2011-10-08;265;1.153,53
2011-10-07;267;1.163,93
2011-10-06;299;1.301,01
2011-10-05;310;1.349,56
2011-10-04;318;1.385,92
2011-10-03;315;1.373,48
2011-10-02;238;1.035,50
2011-10-01;281;1.226,34
2011-09-30;281;1.226,13
2011-09-29;298;1.299,30
2011-09-28;273;1.189,26
2011-09-27;309;1.347,61
2011-09-26;323;1.408,37
2011-09-25;257;1.118,93
2011-09-24;271;1.182,40
2011-09-23;271;1.182,19
2011-09-22;312;1.358,59
2011-09-21;306;1.333,95
2011-09-20;281;1.223,90
2011-09-19;320;1.394,46
2011-09-18;235;1.021,92
2011-09-17;239;1.042,93
2011-09-16;237;1.032,11
2011-09-15;314;1.369,08
2011-09-14;309;1.344,44
2011-09-13;275;1.197,80
2011-09-12;311;1.356,15
2011-09-11;232;1.009,82
2011-09-10;278;1.211,27
2011-09-09;251;1.094,30
2011-09-08;317;1.379,58
2011-09-07;297;1.293,93
2011-09-06;272;1.183,89
2011-09-05;288;1.256,84
2011-09-04;244;1.061,40
2011-09-03;280;1.220,40
2011-09-02;241;1.050,36
2011-09-01;285;1.243,67
2011-08-31;322;1.402,02
2011-08-30;277;1.206,58
2011-08-29;319;1.389,34
2011-08-28;234;1.017,46
2011-08-27;277;1.208,30
2011-08-26;275;1.197,47
2011-08-25;296;1.290,76
2011-08-24;305;1.327,12
2011-08-23;305;1.326,87
2011-08-22;285;1.241,23
2011-08-21;250;1.090,27
2011-08-20;279;1.217,43
2011-08-19;243;1.058,00
2011-08-18;293;1.276,85
2011-08-17;271;1.179,01
2011-08-16;287;1.251,96
2011-08-15;282;1.227,32
2011-08-14;272;1.184,31
2011-08-13;257;1.120,41
2011-08-12;233;1.014,06
2011-08-11;315;1.372,74
2011-08-10;290;1.262,70
2011-08-09;293;1.274,66
2011-08-08;306;1.335,41
2011-08-07;230;1.002,39
2011-08-06;259;1.129,54
2011-08-05;237;1.033,80
2011-08-04;281;1.224,64
2011-08-03;298;1.297,59
2011-08-02;287;1.248,55
2011-08-01;303;1.321,50
2011-07-31;257;1.117,65
2011-07-30;259;1.128,06
2011-07-29;261;1.138,46
2011-07-28;300;1.308,33
2011-07-27;292;1.271,48
2011-07-26;295;1.283,44
2011-07-25;272;1.185,60
2011-07-24;239;1.041,87
2011-07-23;239;1.041,66
2011-07-22;256;1.115,74
2011-07-21;300;1.306,62
2011-07-20;272;1.184,38
2011-07-19;308;1.342,73
2011-07-18;269;1.171,69
2011-07-17;244;1.061,61
2011-07-16;236;1.029,56
2011-07-15;251;1.093,03
2011-07-14;271;1.182,91
2011-07-13;305;1.329,07
2011-07-12;294;1.280,02
2011-07-11;263;1.145,58
2011-07-10;238;1.038,90
2011-07-09;229;996,23
2011-07-08;268;1.165,84
2011-07-07;277;1.205,60
2011-07-06;299;1.302,96
2011-07-05;316;1.375,92
2011-07-04;293;1.278,07
2011-07-03;238;1.037,41
2011-07-02;243;1.058,43
2011-07-01;240;1.047,60
2011-06-30;304;1.325,90
2011-06-29;315;1.374,45
2011-06-28;313;1.362,01
2011-06-27;285;1.239,76
2011-06-26;247;1.078,38
2011-06-25;247;1.078,17
2011-06-24;255;1.109,80
2011-06-23;298;1.299,79
2011-06-22;298;1.299,54
2011-06-21;267;1.165,10
2011-06-20;276;1.201,46
2011-06-19;269;1.172,42
2011-06-18;271;1.182,82
2011-06-17;247;1.076,47
2011-06-16;267;1.163,88
2011-06-15;264;1.151,44
2011-06-14;312;1.358,59
2011-06-13;275;1.199,75
2011-06-12;266;1.160,32
2011-06-11;247;1.075,20
2011-06-10;242;1.053,76
2011-06-09;261;1.137,77
2011-06-08;286;1.247,33
2011-06-07;264;1.149,48
2011-06-06;275;1.198,04
2011-06-05;229;999,63
2011-06-04;227;988,80
2011-06-03;268;1.169,03
2011-06-02;278;1.209,26
2011-06-01;277;1.209,02
2011-05-31;263;1.147,78
2011-05-30;263;1.147,53
2011-05-29;236;1.029,98
2011-05-28;275;1.199,59
2011-05-27;248;1.082,63
2011-05-26;297;1.292,96
2011-05-25;283;1.231,71
2011-05-24;260;1.133,87
2011-05-23;274;1.194,62
2011-05-22;226;986,04
2011-05-21;231;1.007,06
2011-05-20;253;1.102,37
2011-05-19;310;1.352,25
2011-05-18;316;1.376,40
2011-05-17;316;1.376,16
2011-05-16;260;1.131,92
2011-05-15;228;995,17
2011-05-14;267;1.164,78
2011-05-13;238;1.037,20
2011-05-12;310;1.350,54
2011-05-11;274;1.191,70
2011-05-10;293;1.276,85
2011-05-09;310;1.349,81
2011-05-08;260;1.131,66
2011-05-07;257;1.120,84
2011-05-06;230;1.003,87
2011-05-05;304;1.324,43
2011-05-04;298;1.299,79
2011-05-03;312;1.360,54
2011-05-02;265;1.152,90
2011-05-01;274;1.193,86
2011-04-30;225;981,37
2011-04-29;232;1.013,00
2011-04-28;270;1.176,32
2011-04-27;315;1.371,28
2011-04-26;292;1.273,44
2011-04-25;309;1.346,39
2011-04-24;244;1.065,01
2011-04-23;257;1.117,87
2011-04-22;230;1.000,90
2011-04-21;281;1.223,42
2011-04-20;300;1.308,57
2011-04-19;297;1.296,13
2011-04-18;275;1.198,28
2011-04-17;261;1.137,82
2011-04-16;256;1.116,38
2011-04-15;239;1.041,87
2011-04-14;303;1.319,31
2011-04-13;286;1.245,86
2011-04-12;291;1.270,02
2011-04-11;297;1.294,18
2011-04-10;261;1.136,33
2011-04-09;232;1.008,75
2011-04-08;251;1.093,45
2011-04-07;283;1.232,20
2011-04-06;305;1.329,56
2011-04-05;294;1.280,51
2011-04-04;269;1.170,47
2011-04-03;248;1.081,78
2011-04-02;251;1.092,18
2011-04-01;238;1.038,90
2011-03-31;285;1.242,69
2011-03-30;288;1.254,65
2011-03-29;285;1.242,20
2011-03-28;296;1.290,76
2011-03-27;250;1.090,91
2011-03-26;228;995,17
2011-03-25;250;1.090,48
2011-03-24;310;1.350,78
2011-03-23;299;1.301,74
2011-03-22;296;1.289,30
2011-03-21;276;1.203,65
2011-03-20;248;1.078,81
2011-03-19;243;1.057,37
2011-03-18;255;1.110,22
2011-03-17;268;1.166,08
2011-03-16;259;1.129,23
2011-03-15;310;1.348,59
2011-03-14;256;1.116,54
2011-03-13;250;1.087,94
2011-03-12;250;1.087,72
2011-03-11;257;1.119,35
2011-03-10;270;1.176,57
2011-03-09;295;1.286,12
2011-03-08;267;1.163,88
2011-03-07;295;1.285,64
2011-03-06;249;1.086,45
2011-03-05;266;1.160,53
2011-03-04;269;1.170,94
2011-03-03;256;1.113,86
2011-03-02;278;1.211,22
2011-03-01;270;1.174,37
2011-02-28;283;1.235,13
2011-02-27;271;1.180,49
2011-02-26;259;1.127,21
2011-02-25;232;1.010,24
2011-02-24;286;1.246,35
2011-02-23;306;1.331,51
2011-02-22;300;1.306,86
2011-02-21;280;1.221,22
2011-02-20;251;1.094,09
2011-02-19;246;1.072,65
2011-02-18;263;1.146,74
2011-02-17;258;1.122,64
2011-02-16;305;1.329,80
2011-02-15;280;1.219,76
2011-02-14;271;1.182,91
2011-02-13;268;1.166,90
2011-02-12;241;1.049,94
2011-02-11;236;1.028,50
2011-02-10;280;1.218,54
2011-02-09;308;1.340,29
2011-02-08;254;1.108,25
2011-02-07;296;1.291,00
2011-02-06;253;1.101,73
2011-02-05;233;1.016,61
2011-02-04;241;1.048,24
2011-02-03;262;1.143,63
2011-02-02;260;1.131,18
2011-02-01;274;1.191,94
2011-01-31;262;1.142,90
2011-01-30;248;1.079,02
2011-01-29;252;1.100,03
2011-01-28;255;1.110,44
2011-01-27;282;1.227,32
2011-01-26;276;1.202,68
2011-01-25;307;1.336,63
2011-01-24;256;1.116,79
2011-01-23;233;1.013,85
2011-01-22;257;1.119,78
2011-01-21;245;1.066,49
2011-01-20;301;1.311,01
2011-01-19;264;1.152,17
2011-01-18;270;1.176,32
2011-01-17;306;1.334,68
2011-01-16;223;969,91
2011-01-15;259;1.128,91
2011-01-14;230;1.001,32
2011-01-13;253;1.101,90
2011-01-12;264;1.150,46
2011-01-11;284;1.235,62
2011-01-10;281;1.223,17
2011-01-09;225;979,04
2011-01-08;249;1.084,96
2011-01-07;229;999,84
2011-01-06;297;1.295,40
2011-01-05;300;1.307,35
2011-01-04;289;1.258,31
2011-01-03;306;1.331,26
2011-01-02;268;1.168,60
2011-01-01;219;956,11
2010-12-31;224;977,12
2010-12-30;280;1.220,49
2010-12-29;288;1.256,84
