date;meals;amount
2014-08-14;239;2.387,00
2014-08-13;213;2.127,04
2014-08-12;235;2.347,08
2014-08-11;211;2.107,12
2014-08-10;227;2.267,16
2014-08-09;239;2.387,20
2014-08-08;227;2.267,24
2014-08-07;213;2.127,28
2014-08-06;219;2.187,32
2014-08-05;225;2.247,36
2014-08-04;231;2.307,40
2014-08-03;205;2.047,44
2014-08-02;225;2.247,48
2014-08-01;241;2.407,52
2014-07-31;213;2.127,56
2014-07-30;209;2.087,60
2014-07-29;235;2.347,64
2014-07-28;225;2.247,68
2014-07-27;207;2.067,72
2014-07-26;225;2.247,76
2014-07-25;237;2.367,80
2014-07-24;213;2.127,84
2014-07-23;213;2.127,88
2014-07-22;237;2.367,92
2014-07-21;211;2.107,96
2014-07-20;213;2.128,00
2014-07-19;239;2.388,04
2014-07-18;209;2.088,08
2014-07-17;219;2.188,12
2014-07-16;241;2.408,16
2014-07-15;213;2.128,20
2014-07-14;217;2.168,24
2014-07-13;211;2.108,28
2014-07-12;207;2.068,32
2014-07-11;229;2.288,36
2014-07-10;239;2.388,40
2014-07-09;205;2.048,44
2014-07-08;213;2.128,48
2014-07-07;211;2.108,52
2014-07-06;223;2.228,56
2014-07-05;239;2.388,60
2014-07-04;241;2.408,64
2014-07-03;229;2.288,68
2014-07-02;223;2.228,72
2014-07-01;239;2.388,76
2014-06-30;201;2.008,80
2014-06-29;231;2.308,84
2014-06-28;233;2.328,88
2014-06-27;225;2.248,92
2014-06-26;239;2.388,96
2014-06-25;217;2.169,00
2014-06-24;221;2.209,04
2014-06-23;211;2.109,08
2014-06-22;229;2.289,12
2014-06-21;215;2.149,16
2014-06-20;221;2.209,20
2014-06-19;201;2.009,24
2014-06-18;211;2.109,28
2014-06-17;229;2.289,32
2014-06-16;219;2.189,36
2014-06-15;211;2.109,40
2014-06-14;201;2.009,44
2014-06-13;237;2.369,48
2014-06-12;223;2.229,52
2014-06-11;209;2.089,56
2014-06-10;223;2.229,60
2014-06-09;219;2.189,64
2014-06-08;213;2.129,68
2014-06-07;237;2.369,72
2014-06-06;229;2.289,76
2014-06-05;237;2.369,80
2014-06-04;233;2.329,84
2014-06-03;227;2.269,88
2014-06-02;223;2.229,92
2014-06-01;215;2.149,96
2014-05-31;225;2.250,00
2014-05-30;223;2.230,04
2014-05-29;205;2.050,08
2014-05-28;215;2.150,12
2014-05-27;207;2.070,16
2014-05-26;201;2.010,20
2014-05-25;231;2.310,24
2014-05-24;229;2.290,28
2014-05-23;213;2.130,32
2014-05-22;219;2.190,36
2014-05-21;203;2.030,40
2014-05-20;233;2.330,44
2014-05-19;219;2.190,48
2014-05-18;213;2.130,52
2014-05-17;221;2.210,56
2014-05-16;237;2.370,60
2014-05-15;225;2.250,64
2014-05-14;223;2.230,68
2014-05-13;231;2.310,72
2014-05-12;205;2.050,76
2014-05-11;231;2.310,80
2014-05-10;213;2.130,84
2014-05-09;225;2.250,88
2014-05-08;203;2.030,92
2014-05-07;207;2.070,96
2014-05-06;211;2.111,00
2014-05-05;239;2.391,04
2014-05-04;241;2.411,08
2014-05-03;239;2.391,12
2014-05-02;221;2.211,16
2014-05-01;213;2.131,20
2014-04-30;221;2.211,24
2014-04-29;203;2.031,28
2014-04-28;217;2.171,32
2014-04-27;237;2.371,36
2014-04-26;211;2.111,40
2014-04-25;219;2.191,44
2014-04-24;227;2.271,48
2014-04-23;239;2.391,52
2014-04-22;231;2.311,56
2014-04-21;203;2.031,60
2014-04-20;241;2.411,64
2014-04-19;223;2.231,68
2014-04-18;223;2.231,72
2014-04-17;213;2.131,76
2014-04-16;201;2.011,80
2014-04-15;217;2.171,84
2014-04-14;237;2.371,88
2014-04-13;225;2.251,92
2014-04-12;207;2.071,96
2014-04-11;201;2.012,00
2014-04-10;215;2.152,04
2014-04-09;221;2.212,08
2014-04-08;225;2.252,12
2014-04-07;217;2.172,16
2014-04-06;227;2.272,20
2014-04-05;237;2.372,24
2014-04-04;215;2.152,28
2014-04-03;225;2.252,32
2014-04-02;235;2.352,36
2014-04-01;235;2.352,40
2014-03-31;237;2.372,44
2014-03-30;215;2.152,48
2014-03-29;237;2.372,52
2014-03-28;213;2.132,56
2014-03-27;209;2.092,60
2014-03-26;205;2.052,64
2014-03-25;231;2.312,68
2014-03-24;237;2.372,72
2014-03-23;203;2.032,76
2014-03-22;219;2.192,80
2014-03-21;239;2.392,84
2014-03-20;201;2.012,88
2014-03-19;241;2.412,92
2014-03-18;219;2.192,96
2014-03-17;213;2.133,00
2014-03-16;201;2.013,04
2014-03-15;237;2.373,08
2014-03-14;207;2.073,12
2014-03-13;225;2.253,16
2014-03-12;203;2.033,20
2014-03-11;209;2.093,24
2014-03-10;239;2.393,28
2014-03-09;223;2.233,32
2014-03-08;233;2.333,36
2014-03-07;215;2.153,40
2014-03-06;207;2.073,44
2014-03-05;229;2.293,48
2014-03-04;229;2.293,52
2014-03-03;233;2.333,56
2014-03-02;221;2.213,60
2014-03-01;221;2.213,64
2014-02-28;229;2.293,68
2014-02-27;235;2.353,72
2014-02-26;217;2.173,76
2014-02-25;241;2.413,80
2014-02-24;203;2.033,84
2014-02-23;223;2.233,88
2014-02-22;229;2.293,92
2014-02-21;239;2.393,96
2014-02-20;225;2.254,00
2014-02-19;207;2.074,04
2014-02-18;237;2.374,08
2014-02-17;227;2.274,12
2014-02-16;205;2.054,16
2014-02-15;215;2.154,20
2014-02-14;239;2.394,24
2014-02-13;207;2.074,28
2014-02-12;209;2.094,32
2014-02-11;205;2.054,36
2014-02-10;233;2.334,40
2014-02-09;213;2.134,44
2014-02-08;213;2.134,48
2014-02-07;231;2.314,52
2014-02-06;237;2.374,56
2014-02-05;205;2.054,60
2014-02-04;203;2.034,64
2014-02-03;203;2.034,68
2014-02-02;233;2.334,72
2014-02-01;231;2.314,76
2014-01-31;235;2.354,80
2014-01-30;213;2.134,84
2014-01-29;211;2.114,88
2014-01-28;221;2.214,92
2014-01-27;207;2.074,96
2014-01-26;230;2.295,00
2014-01-25;222;2.215,04
2014-01-24;210;2.095,08
2014-01-23;212;2.115,12
2014-01-22;208;2.075,16
2014-01-21;206;2.055,20
2014-01-20;238;2.375,24
2014-01-19;216;2.155,28
2014-01-18;202;2.015,32
2014-01-17;222;2.215,36
2014-01-16;222;2.215,40
2014-01-15;216;2.155,44
2014-01-14;218;2.175,48
2014-01-13;228;2.275,52
2014-01-12;226;2.255,56
2014-01-11;222;2.215,60
2014-01-10;218;2.175,64
2014-01-09;238;2.375,68
2014-01-08;236;2.355,72
2014-01-07;206;2.055,76
2014-01-06;232;2.315,80
2014-01-05;240;2.395,84
2014-01-04;210;2.095,88
2014-01-03;234;2.335,92
2014-01-02;232;2.315,96
2014-01-01;240;2.396,00
2013-12-31;226;2.256,04
2013-12-30;204;2.036,08
2013-12-29;210;2.096,12
2013-12-28;206;2.056,16
2013-12-27;210;2.096,20
2013-12-26;240;2.396,24
2013-12-25;226;2.256,28
2013-12-24;218;2.176,32
2013-12-23;208;2.076,36
2013-12-22;234;2.336,40
2013-12-21;224;2.236,44
2013-12-20;202;2.016,48
2013-12-19;206;2.056,52
2013-12-18;224;2.236,56
2013-12-17;222;2.216,60
2013-12-16;226;2.256,64
2013-12-15;240;2.396,68
2013-12-14;240;2.396,72
2013-12-13;212;2.116,76
2013-12-12;222;2.216,80
2013-12-11;220;2.196,84
2013-12-10;228;2.276,88
2013-12-09;216;2.156,92
2013-12-08;212;2.116,96
2013-12-07;234;2.337,00
2013-12-06;204;2.037,04
2013-12-05;210;2.097,08
2013-12-04;242;2.417,12
2013-12-03;238;2.377,16
2013-12-02;242;2.417,20
2013-12-01;240;2.397,24
2013-11-30;222;2.217,28
2013-11-29;204;2.037,32
2013-11-28;206;2.057,36
2013-11-27;226;2.257,40
2013-11-26;212;2.117,44
2013-11-25;202;2.017,48
2013-11-24;210;2.097,52
2013-11-23;230;2.297,56
2013-11-22;210;2.097,60
2013-11-21;242;2.417,64
2013-11-20;212;2.117,68
2013-11-19;210;2.097,72
2013-11-18;206;2.057,76
2013-11-17;236;2.357,80
2013-11-16;232;2.317,84
2013-11-15;232;2.317,88
2013-11-14;232;2.317,92
2013-11-13;228;2.277,96
2013-11-12;242;2.418,00
2013-11-11;210;2.098,04
2013-11-10;206;2.058,08
2013-11-09;228;2.278,12
2013-11-08;224;2.238,16
2013-11-07;218;2.178,20
2013-11-06;218;2.178,24
2013-11-05;228;2.278,28
2013-11-04;226;2.258,32
2013-11-03;218;2.178,36
2013-11-02;222;2.218,40
2013-11-01;226;2.258,44
2013-10-31;214;2.138,48
2013-10-30;202;2.018,52
2013-10-29;228;2.278,56
2013-10-28;220;2.198,60
2013-10-27;228;2.278,64
2013-10-26;240;2.398,68
2013-10-25;222;2.218,72
2013-10-24;236;2.358,76
2013-10-23;228;2.278,80
2013-10-22;230;2.298,84
2013-10-21;236;2.358,88
2013-10-20;238;2.378,92
2013-10-19;240;2.398,96
2013-10-18;242;2.419,00
2013-10-17;230;2.299,04
2013-10-16;228;2.279,08
2013-10-15;230;2.299,12
2013-10-14;218;2.179,16
2013-10-13;214;2.139,20
2013-10-12;228;2.279,24
2013-10-11;226;2.259,28
2013-10-10;218;2.179,32
2013-10-09;214;2.139,36
2013-10-08;208;2.079,40
2013-10-07;234;2.339,44
2013-10-06;232;2.319,48
2013-10-05;234;2.339,52
2013-10-04;218;2.179,56
2013-10-03;206;2.059,60
2013-10-02;214;2.139,64
2013-10-01;202;2.019,68
2013-09-30;220;2.199,72
2013-09-29;216;2.159,76
2013-09-28;230;2.299,80
2013-09-27;238;2.379,84
2013-09-26;242;2.419,88
2013-09-25;228;2.279,92
2013-09-24;218;2.179,96
